,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_year
0,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,78,0.751,0.3,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,4,2000
1,Yellow,Parachutes,Coldplay,2000-07-10,266773,88,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4,2000
2,Stan,The Marshall Mathers LP,Eminem,2000-05-23,404106,84,0.78,0.0371,0.768,2.34e-06,0.518,-4.325,0.238,80.063,4,2000
3,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,216880,84,0.556,0.00958,0.864,0.0,0.209,-5.87,0.0584,105.143,4,2000
4,Agamamou - Ao Vivo,Acústico Art Popular (Remasterizado / Ao Vivo),Art Popular,2000-06-05,272597,33,0.691,0.805,0.664,0.0037,0.706,-11.273,0.0953,101.049,4,2000
5,Ms. Jackson,Stankonia,Outkast,2000-10-31,270506,81,0.843,0.143,0.806,0.0,0.0771,-5.946,0.269,94.948,4,2000
6,A Lenda,As Quatro Estações (Ao Vivo),Sandy e Junior,2000-01-01,271333,54,0.573,0.508,0.612,0.0,0.154,-5.392,0.0323,160.258,4,2000
7,All The Small Things,Enema Of The State,blink-182,1999-06-01,167066,81,0.434,0.0103,0.897,0.0,0.612,-4.918,0.0488,148.726,4,2000
8,Say My Name,The Writing's On The Wall,Destiny's Child,1999-07-27,271333,76,0.713,0.273,0.678,0.0,0.149,-3.525,0.102,138.009,4,2000
9,Thong Song,Unleash The Dragon,Sisqo,1999-01-01,253733,69,0.706,0.119,0.888,9.64e-05,0.07,-6.959,0.0654,121.549,4,2000
10,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,86,0.949,0.0302,0.661,0.0,0.0454,-4.244,0.0572,104.504,4,2000
11,I'm Like A Bird,"Whoa, Nelly! (Expanded Edition)",Nelly Furtado,2000,243160,70,0.623,0.147,0.607,3.29e-06,0.227,-5.113,0.0353,89.654,4,2000
12,The Next Episode,2001,Dr. Dre,1999-11-16,161506,80,0.922,0.0281,0.909,0.0,0.0856,-2.429,0.27,95.295,4,2000
13,It's My Life,Crush,Bon Jovi,2000-01-01,224493,80,0.551,0.0263,0.913,1.35e-05,0.347,-4.063,0.0466,119.992,4,2000
14,A Cera,Rock Brasileiro,Various Artists,2020-01-24,227373,27,0.592,0.0638,0.78,0.0,0.069,-2.858,0.0503,133.257,4,2000
15,Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,255373,79,0.458,0.00316,0.795,0.000202,0.0756,-3.265,0.0574,123.229,4,2000
16,Kryptonite,The Better Life,3 Doors Down,2000,233933,78,0.545,0.00664,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,4,2000
17,Man! I Feel Like A Woman!,Come On Over,Shania Twain,1997-11-04,234493,78,0.657,0.581,0.639,0.0,0.278,-7.527,0.0412,124.882,4,2000
18,It Wasn't Me,Hot Shot,Shaggy,2000-08-08,227600,78,0.853,0.0561,0.606,0.0,0.313,-4.596,0.0713,94.759,4,2000
19,Forgot About Dre,2001,Dr. Dre,1999-11-16,222293,78,0.924,0.0827,0.74,0.0,0.163,-1.299,0.0774,133.974,4,2000
20,Lady - Hear Me Tonight,Modjo (Remastered),Modjo,2001,307153,77,0.72,0.00793,0.808,0.0293,0.0634,-5.627,0.0379,126.041,4,2000
21,Dancing in the Moonlight,Onka's Big Moka,Toploader,2000,232693,77,0.632,0.0624,0.856,0.0,0.347,-3.463,0.0348,119.397,4,2000
22,Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17,213760,75,0.603,0.00591,0.933,0.0,0.206,-3.358,0.171,96.306,4,2000
23,Better Off Alone,Who Needs Guitars Anyway?,Alice Deejay,2000-10-01,214883,74,0.671,0.00181,0.882,0.667,0.285,-6.149,0.0552,136.955,4,2000
24,L'Amour Toujours,L'Amour Toujours,Gigi D'Agostino,2001-05-23,242053,73,0.638,0.0771,0.877,0.0221,0.364,-4.449,0.0302,139.052,4,2000
25,Shape of My Heart,Black & Blue,Backstreet Boys,2000-11-21,230093,72,0.575,0.252,0.786,0.0,0.159,-4.353,0.0296,96.102,4,2000
26,Party Up,...And Then There Was X,DMX,1999-12-21,268866,71,0.51,0.0738,0.931,0.0,0.5,-3.302,0.347,201.936,4,2000
27,Bye Bye Bye,No Strings Attached,*NSYNC,2000-03-21,200400,71,0.61,0.031,0.926,0.0012,0.0821,-4.843,0.0479,172.638,4,2000
28,Amazed,Lonely Grill,Lonestar,1999,240866,70,0.561,0.26,0.543,0.0,0.124,-8.498,0.0324,139.803,4,2000
29,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17,321040,74,0.425,0.0175,0.852,0.306,0.0935,-5.607,0.046,101.968,4,2000
30,Higher,Human Clay,Creed,1999-01-01,316733,70,0.459,5.15e-05,0.83,0.00014,0.206,-6.254,0.0364,155.827,4,2000
31,Sandstorm,"Before the Storm, Special Edition",Darude,2001-01-01,225493,70,0.528,0.141,0.965,0.985,0.0797,-7.984,0.0465,136.065,4,2000
32,"Jumpin', Jumpin'",The Writing's On The Wall,Destiny's Child,1999-07-27,230200,70,0.771,0.00543,0.685,0.00157,0.0537,-4.639,0.0567,88.997,4,2000
33,Country Grammar (Hot Shit),Country Grammar,Nelly,2000-06-27,287000,70,0.865,0.00689,0.664,0.0,0.142,-6.822,0.108,162.831,4,2000
